Test set: Average loss: 0.1366, Accuracy: 9563/10000 (95.630%)
Test set: Average loss: 0.0278, Accuracy: 9906/10000 (99.060%)

Test set: Average loss: 0.0273, Accuracy: 9910/10000 (99.100%)

Test set: Average loss: 0.0272, Accuracy: 9918/10000 (99.180%)

Test set: Average loss: 0.0258, Accuracy: 9911/10000 (99.110%)

Test set: Average loss: 0.0271, Accuracy: 9913/10000 (99.130%)

Test set: Average loss: 0.0253, Accuracy: 9918/10000 (99.180%)

Test set: Average loss: 0.0252, Accuracy: 9914/10000 (99.140%)

Test set: Average loss: 0.0285, Accuracy: 9903/10000 (99.030%)

Test set: Average loss: 0.0294, Accuracy: 9914/10000 (99.140%)

Test set: Average loss: 0.0250, Accuracy: 9916/10000 (99.160%)

Test set: Average loss: 0.0273, Accuracy: 9906/10000 (99.060%)

Test set: Average loss: 0.0262, Accuracy: 9915/10000 (99.150%)

Test set: Average loss: 0.0276, Accuracy: 9917/10000 (99.170%)

Test set: Average loss: 0.0282, Accuracy: 9913/10000 (99.130%)

Test set: Average loss: 0.0259, Accuracy: 9921/10000 (99.210%)

Test set: Average loss: 0.0277, Accuracy: 9913/10000 (99.130%)

Test set: Average loss: 0.0270, Accuracy: 9915/10000 (99.150%)

Test set: Average loss: 0.0290, Accuracy: 9908/10000 (99.080%)

Test set: Average loss: 0.0273, Accuracy: 9907/10000 (99.070%)

Test set: Average loss: 0.0272, Accuracy: 9909/10000 (99.090%)

Test set: Average loss: 0.0296, Accuracy: 9910/10000 (99.100%)

Test set: Average loss: 0.0257, Accuracy: 9918/10000 (99.180%)

Test set: Average loss: 0.0268, Accuracy: 9912/10000 (99.120%)

Test set: Average loss: 0.0266, Accuracy: 9912/10000 (99.120%)

Test set: Average loss: 0.0250, Accuracy: 9920/10000 (99.200%)

Test set: Average loss: 0.0267, Accuracy: 9907/10000 (99.070%)

Test set: Average loss: 0.0250, Accuracy: 9911/10000 (99.110%)

Test set: Average loss: 0.0257, Accuracy: 9910/10000 (99.100%)

Test set: Average loss: 0.0262, Accuracy: 9912/10000 (99.120%)

Test set: Average loss: 0.0270, Accuracy: 9909/10000 (99.090%)

Test set: Average loss: 0.0260, Accuracy: 9917/10000 (99.170%)

Test set: Average loss: 0.0260, Accuracy: 9906/10000 (99.060%)

Test set: Average loss: 0.0246, Accuracy: 9913/10000 (99.130%)

Test set: Average loss: 0.0261, Accuracy: 9912/10000 (99.120%)

Test set: Average loss: 0.0260, Accuracy: 9913/10000 (99.130%)

Test set: Average loss: 0.0267, Accuracy: 9912/10000 (99.120%)

Test set: Average loss: 0.0251, Accuracy: 9912/10000 (99.120%)

Test set: Average loss: 0.0261, Accuracy: 9915/10000 (99.150%)

Test set: Average loss: 0.0242, Accuracy: 9919/10000 (99.190%)

Test set: Average loss: 0.0264, Accuracy: 9907/10000 (99.070%)

Test set: Average loss: 0.0272, Accuracy: 9907/10000 (99.070%)

Test set: Average loss: 0.0269, Accuracy: 9909/10000 (99.090%)

Test set: Average loss: 0.0258, Accuracy: 9911/10000 (99.110%)

Test set: Average loss: 0.0280, Accuracy: 9915/10000 (99.150%)

Test set: Average loss: 0.0265, Accuracy: 9914/10000 (99.140%)

Test set: Average loss: 0.0282, Accuracy: 9914/10000 (99.140%)

Test set: Average loss: 0.0247, Accuracy: 9912/10000 (99.120%)

Test set: Average loss: 0.0249, Accuracy: 9913/10000 (99.130%)

Test set: Average loss: 0.0266, Accuracy: 9908/10000 (99.080%)

Test set: Average loss: 0.0264, Accuracy: 9904/10000 (99.040%)

Test set: Average loss: 0.0275, Accuracy: 9912/10000 (99.120%)

Test set: Average loss: 0.0274, Accuracy: 9910/10000 (99.100%)

Test set: Average loss: 0.0247, Accuracy: 9926/10000 (99.260%)

Test set: Average loss: 0.0260, Accuracy: 9916/10000 (99.160%)

Test set: Average loss: 0.0249, Accuracy: 9915/10000 (99.150%)

Test set: Average loss: 0.0282, Accuracy: 9908/10000 (99.080%)

Test set: Average loss: 0.0251, Accuracy: 9909/10000 (99.090%)

Test set: Average loss: 0.0266, Accuracy: 9920/10000 (99.200%)

